Date,Industry,Monthly_Return,Next_Monthly_Return
1926-07-31,Durbl,0.04156284958924772,0.0066446028984372685
1926-07-31,Enrgy,-0.0035882980080961246,0.05136343050084147
1926-07-31,HiTec,0.02359608498141763,0.028808802188856397
1926-07-31,Hlth,0.02621510491825596,0.06316276919322683
1926-07-31,Manuf,0.034804967721124846,0.02956474132793696
1926-07-31,NoDur,0.019748237738768326,0.056859877555542004
1926-07-31,Other,0.006363816418491153,0.055750004776556006
1926-07-31,Shops,0.010536242403912377,0.010876414404078494
1926-07-31,Telcm,0.013549044923532927,0.010914197955743887
1926-07-31,Utils,0.05036169329522289,-0.019212138379743005
1926-08-31,Durbl,0.0066446028984372685,-0.02820347489293018
1926-08-31,Enrgy,0.05136343050084147,-0.015374966112813526
1926-08-31,HiTec,0.028808802188856397,0.008167750132090701
1926-08-31,Hlth,0.06316276919322683,0.009546463783104642
1926-08-31,Manuf,0.02956474132793696,0.01581139668314746
1926-08-31,NoDur,0.056859877555542004,0.00891741918226141
1926-08-31,Other,0.055750004776556006,0.0005461877944630267
1926-08-31,Shops,0.010876414404078494,-0.0018123305422503844
1926-08-31,Telcm,0.010914197955743887,0.002685122507969595
1926-08-31,Utils,-0.019212138379743005,0.020557455309667905
1926-09-30,Durbl,-0.02820347489293018,-0.09349682546136806
1926-09-30,Enrgy,-0.015374966112813526,0.030802960891749942
1926-09-30,HiTec,0.008167750132090701,-0.05717779145862334
1926-09-30,Hlth,0.009546463783104642,0.0012536777900475915
1926-09-30,Manuf,0.01581139668314746,-0.04230797920027274
1926-09-30,NoDur,0.00891741918226141,-0.015975951568687363
1926-09-30,Other,0.0005461877944630267,-0.01807791391032265
1926-09-30,Shops,-0.0018123305422503844,-0.02526721866673065
1926-09-30,Telcm,0.002685122507969595,-0.009248899931588284
1926-09-30,Utils,0.020557455309667905,-0.03335268601210051
1926-10-31,Durbl,-0.09349682546136806,0.0004794547044224551
1926-10-31,Enrgy,0.030802960891749942,0.02173496302125466
1926-10-31,HiTec,-0.05717779145862334,0.014858764429810156
1926-10-31,Hlth,0.0012536777900475915,0.07370114283015305
1926-10-31,Manuf,-0.04230797920027274,0.02950217552090928
1926-10-31,NoDur,-0.015975951568687363,0.0666850799203127
1926-10-31,Other,-0.01807791391032265,0.014116768759329545
1926-10-31,Shops,-0.02526721866673065,0.017694907436218932
1926-10-31,Telcm,-0.009248899931588284,0.016527549949518328
1926-10-31,Utils,-0.03335268601210051,0.06533946503864785
1926-11-30,Durbl,0.0004794547044224551,0.05193311142789514
1926-11-30,Enrgy,0.02173496302125466,0.05802406631791168
1926-11-30,HiTec,0.014858764429810156,0.016309204455648763
1926-11-30,Hlth,0.07370114283015305,0.004205852635641882
1926-11-30,Manuf,0.02950217552090928,0.05494582279662419
1926-11-30,NoDur,0.0666850799203127,0.012645291438988293
1926-11-30,Other,0.014116768759329545,0.01843370631273311
1926-11-30,Shops,0.017694907436218932,0.03998873408081316
1926-11-30,Telcm,0.016527549949518328,0.016393317629799675
1926-11-30,Utils,0.06533946503864785,0.018624746751729315
1926-12-31,Durbl,0.05193311142789514,-0.01802336144960892
1926-12-31,Enrgy,0.05802406631791168,0.04972700063536939
1926-12-31,HiTec,0.016309204455648763,0.005407755275021797
1926-12-31,Hlth,0.004205852635641882,0.06239624544646638
1926-12-31,Manuf,0.05494582279662419,0.020399275586677756
1926-12-31,NoDur,0.012645291438988293,-0.0047403243913602955
1926-12-31,Other,0.01843370631273311,0.054379608861206075
1926-12-31,Shops,0.03998873408081316,-0.01617385535061977
1926-12-31,Telcm,0.016393317629799675,0.004585739537775302
1926-12-31,Utils,0.018624746751729315,-0.002912889257941531
1927-01-31,Durbl,-0.01802336144960892,0.06255357420343999
1927-01-31,Enrgy,0.04972700063536939,0.049501723113720475
1927-01-31,HiTec,0.005407755275021797,0.08597631304079267
1927-01-31,Hlth,0.06239624544646638,0.0253514703236708
1927-01-31,Manuf,0.020399275586677756,0.08432440861632728
1927-01-31,NoDur,-0.0047403243913602955,0.03451896574557378
1927-01-31,Other,0.054379608861206075,0.08235961301929784
1927-01-31,Shops,-0.01617385535061977,0.052363455025405736
1927-01-31,Telcm,0.004585739537775302,0.07010085177251679
1927-01-31,Utils,-0.002912889257941531,0.05044011453839925
1927-02-28,Durbl,0.06255357420343999,-0.024331914060219506
