Date,Industry,Monthly_Return,Next_Monthly_Return
1926-07-31,Durbl,0.15595691283105984,0.0369034166762352
1926-07-31,Enrgy,-0.011581544958595869,0.03450792648026835
1926-07-31,HiTec,0.029136170572861886,0.02700463864334668
1926-07-31,Hlth,0.018399737337090327,0.04196923876494152
1926-07-31,Manuf,0.0472929574397436,0.02823485726798225
1926-07-31,NoDur,0.014326465410271938,0.039850735062256115
1926-07-31,Other,0.021095425035783544,0.04354724995176795
1926-07-31,Shops,0.0010288757799399306,-0.007122775406406157
1926-07-31,Telcm,0.008246362247122496,0.021707986272753832
1926-07-31,Utils,0.07036928987648361,-0.01693057122489905
1926-08-31,Durbl,0.0369034166762352,0.050180809446918495
1926-08-31,Enrgy,0.03450792648026835,-0.03371603334144191
1926-08-31,HiTec,0.02700463864334668,-0.0039827643564739335
1926-08-31,Hlth,0.04196923876494152,0.006945522289385941
1926-08-31,Manuf,0.02823485726798225,0.01146993878354774
1926-08-31,NoDur,0.039850735062256115,0.011289760767317913
1926-08-31,Other,0.04354724995176795,0.0030198087664858875
1926-08-31,Shops,-0.007122775406406157,0.00208787355474227
1926-08-31,Telcm,0.021707986272753832,0.024094017717054994
1926-08-31,Utils,-0.01693057122489905,0.02045447306867243
1926-09-30,Durbl,0.050180809446918495,-0.0838092951741426
1926-09-30,Enrgy,-0.03371603334144191,-0.007697925407909811
1926-09-30,HiTec,-0.0039827643564739335,-0.045875452560999674
1926-09-30,Hlth,0.006945522289385941,-0.005844184836732769
1926-09-30,Manuf,0.01146993878354774,-0.03666740677020697
1926-09-30,NoDur,0.011289760767317913,-0.012315605257742002
1926-09-30,Other,0.0030198087664858875,-0.028476164694590467
1926-09-30,Shops,0.00208787355474227,-0.022992542598556875
1926-09-30,Telcm,0.024094017717054994,-0.0012495276169678382
1926-09-30,Utils,0.02045447306867243,-0.0326510186202017
1926-10-31,Durbl,-0.0838092951741426,-0.001616912572753093
1926-10-31,Enrgy,-0.007697925407909811,0.0002766656345007945
